"","DOI","Title","trimmed_title","CombinedCites","CombinedAuthors","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","CitationURL","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"1","10.1177/1948550616662026","Compensatory conscientiousness redux: A direct replication of Roberts, Smith, Jackson, and Edmonds (2009)","compensatory conscientiousness redux: a direct re…",6,"LB Nickel, J Iveniuk…",2017,"Social psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662026","https://scholar.google.com/scholar?cites=5799491301229329370&as_sdt=2005&sciodt=0,5&hl=en",95,2023-09-25 10:59:19,NA,NA,6,1,2,3,6,"The present study attempted to closely replicate Roberts, Smith, Jackson, and Edmonds (2009) who found, in part, a compensatory effect such that individuals with spouses higher in …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6533609/","https://scholar.google.com/scholar?q=related:2vu9h5zue1AJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"2","10.1177/1948550616662121","Me or us? Self-control promotes a healthy balance between personal and relationship concerns","me or us? self-control promotes a healthy balance…",39,"ML Visserman, F Righetti…",2017,"… Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662121","https://scholar.google.com/scholar?cites=2889387086773432433&as_sdt=2005&sciodt=0,5&hl=en",60,2023-09-25 10:59:19,NA,NA,39,6.5,13,3,6,"Although romantic partners strive to achieve an optimal balance in fulfilling both personal and relational concerns, they are inevitably challenged by how much time and effort they …","https://research.gold.ac.uk/id/eprint/19031/2/Self-Control%20and%20Balance_Visserman%20et%20al_2016_preprint.pdf","https://scholar.google.com/scholar?q=related:cTC7LT8qGSgJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"3","10.1177/1948550616662123","Impressions based on a portrait predict, 1-month later, impressions following a live interaction","impressions based on a portrait predict, 1-month …",70,"G Gunaydin, E Selcuk, V Zayas",2017,"Social Psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662123","https://scholar.google.com/scholar?cites=5753943179585266209&as_sdt=2005&sciodt=0,5&hl=en",30,2023-09-25 10:59:19,NA,NA,70,11.67,23,3,6,"When it comes to person perception, does one “judge a book by its cover?” Perceivers made judgments of liking, and of personality, based on a photograph of an unknown other, and at …","http://repository.bilkent.edu.tr/bitstream/handle/11693/37049/Impressions%20Based%20on%20a%20Portrait%20Predict.pdf?sequence=1","https://scholar.google.com/scholar?q=related:ISL2DNYc2k8J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"4","10.1177/1948550616662124","Correlates of political ideology among US-Born Mexican Americans: Cultural identification, acculturation attitudes, and socioeconomic status","correlates of political ideology among us-born me…",21,"LP Naumann, V Benet-Martínez…",2017,"Social Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662124","https://scholar.google.com/scholar?cites=14761115099200486058&as_sdt=2005&sciodt=0,5&hl=en",78,2023-09-25 10:59:19,NA,NA,21,3.5,7,3,6,"Latino Americans have to navigate involvement and identification with two cultural groups—their ethnic culture and the dominant American culture. Differences in cultural identifications …","https://www.researchgate.net/profile/Laura-Naumann-2/publication/306071121_Correlates_of_Political_Ideology_Among_US-Born_Mexican_Americans_Cultural_Identification_Acculturation_Attitudes_and_Socioeconomic_Status/links/5b06fbfea6fdcc8c25266de8/Correlates-of-Political-Ideology-Among-US-Born-Mexican-Americans-Cultural-Identification-Acculturation-Attitudes-and-Socioeconomic-Status.pdf","https://scholar.google.com/scholar?q=related:qvp_mPkD2swJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"5","10.1177/1948550616662125","The happiness gap between conservatives and liberals depends on country-level threat: A worldwide multilevel study","the happiness gap between conservatives and liber…",47,"E Onraet, J Van Assche, A Roets…",2017,"… Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662125","https://scholar.google.com/scholar?cites=12666645639831032973&as_sdt=2005&sciodt=0,5&hl=en",48,2023-09-25 10:59:19,NA,NA,47,7.83,12,4,6,"In the present study, we investigated the much debated “happiness gap” between conservatives and liberals, approaching the issue from a multilevel person× context …","https://www.researchgate.net/profile/Jasper-Assche/publication/305787243_The_Happiness_Gap_Between_Conservatives_and_Liberals_Depends_on_Country-Level_Threat_A_Worldwide_Multilevel_Study/links/57a467d308aefe6167ad48f5/The-Happiness-Gap-Between-Conservatives-and-Liberals-Depends-on-Country-Level-Threat-A-Worldwide-Multilevel-Study.pdf","https://scholar.google.com/scholar?q=related:jRThQRn3yK8J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"6","10.1177/1948550616662126","The company you keep: Personality and friendship characteristics","the company you keep: personality and friendship …",54,"M Laakasuo, A Rotkirch, V Berg…",2017,"Social Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662126","https://scholar.google.com/scholar?cites=2569371447288733990&as_sdt=2005&sciodt=0,5&hl=en",40,2023-09-25 10:59:19,NA,NA,54,9,14,4,6,"Studies on personality and friendship have focused on similarities between friends, while differences in friendship patterns have received less attention. We used data from the British …","https://helda.helsinki.fi/bitstream/handle/10138/311735/laakasuo_et_al.pdf?sequence=1","https://scholar.google.com/scholar?q=related:JiGt27c9qCMJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"7","10.1177/1948550616662128","Perceived partner responsiveness predicts better sleep quality through lower anxiety","perceived partner responsiveness predicts better …",113,"E Selcuk, SCE Stanton, RB Slatcher…",2017,"Social Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662128","https://scholar.google.com/scholar?cites=2943178123967711726&as_sdt=2005&sciodt=0,5&hl=en",21,2023-09-25 10:59:19,NA,NA,113,18.83,28,4,6,"The present study investigated whether perceived partner responsiveness—the extent to which individuals feel cared for, understood, and validated by their partner—predicted …","https://www.humanhealthlabs.org/s/selck-2017.pdf","https://scholar.google.com/scholar?q=related:7snL_ehE2CgJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"8","10.1177/1948550616662129","Day-to-day affect is surprisingly stable: a 2-year longitudinal study of well-being","day-to-day affect is surprisingly stable: a 2-yea…",70,"NW Hudson, RE Lucas…",2017,"… and personality science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662129","https://scholar.google.com/scholar?cites=1025720295475695655&as_sdt=2005&sciodt=0,5&hl=en",31,2023-09-25 10:59:19,NA,NA,70,11.67,23,3,6,"Previous research suggests global assessments of cognitive well-being—life satisfaction—are relatively stable over time. Far fewer studies have examined the extent to which …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5726280/","https://scholar.google.com/scholar?q=related:J9C8miwXPA4J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"9","10.1177/1948550616662130","Ethnically-based theme house residency and expected discrimination predict downstream markers of inflammation among college students","ethnically-based theme house residency and expect…",13,"M Rheinschmidt-Same…",2017,"… Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662130","https://scholar.google.com/scholar?cites=14337906199090762163&as_sdt=2005&sciodt=0,5&hl=en",90,2023-09-25 10:59:19,NA,NA,13,2.17,7,2,6,"We examined participation in an ethnically based residential program or “theme house” during the first year of college as a predictor of downstream immune system inflammation …","https://escholarship.org/content/qt7n78z933/qt7n78z933.pdf","https://scholar.google.com/scholar?q=related:sxGt-7h5-sYJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"10","10.1177/1948550616663802","Intentional sin and accidental virtue? Cultural differences in moral systems influence perceived intentionality","intentional sin and accidental virtue? cultural d…",23,"CJ Clark, CW Bauman, SV Kamble…",2017,"Social Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616663802","https://scholar.google.com/scholar?cites=16949094379809306843&as_sdt=2005&sciodt=0,5&hl=en",75,2023-09-25 10:59:19,NA,NA,23,3.83,6,4,6,"Indians and US Americans view harmful actions as morally wrong, but Indians are more likely than US Americans to perceive helping behaviors as moral imperatives. We utilize this …","https://escholarship.org/content/qt0fd31990/qt0fd31990.pdf","https://scholar.google.com/scholar?q=related:23gazYlHN-sJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
